,,Passage,PS Ref,JM Ref,JD Ref,GD Ref,GS Ref,Pan Ref,Panchati NO,Padam Count Cum. PraSnam,Padam.No Panchaati,Padam Count cum Anuvaakam,Padam without iti,Type,Ruk,JI,GI,Table Process,Addn. Ref.,Avagraha,Padam Split Expansion,Jatai as per SIkSha,Ghana as per SIkSha
,,,,,,,,2.3.7.4,,,,,aqsyaq,,R,,,,,,
,,,,,,,,3.5.11.3,,,,,tam,,,,,,,,,tamUtamtamu,tamUtamtamutvAtvavtamtamutvA
,,,,,,,,3.5.11.3,,,,,uq,,,,,UW%UA,P%N[v],,,,utvAtvavutvA,
,,,,,,,,3.5.11.3,,,,,tvAq,,R,,,,,,
,,,,,,,,4.1.10.3,,,,,ut ,,,,,,,,,uduvuvududu,uduvuvududU balam balamuvududU balam
,,,,,,,,4.1.10.3,,,,,uq,,,,,EL,,,
,,,,,,,,4.1.10.3,,,,,bala$m,,R,,,,,,
,,,,,,,,4.6.2.5,,,,,kaH,,,,,,,,,ka uvu kaH ka u,ka uvu kaH ka u sa sa u kaH ka u saH
,,,,,,,,4.6.2.5,,,,,uq,,,,,,,,
,,,,,,,,4.6.2.5,,,,,saH,,R,,,,,,
,,,,,,,,4.6.9.4,,,,,na  ,,,,,,,,,na vai vai na na vai,na vai vai na na vA uvu vai na na vA u
,,,,,,,,4.6.9.4,,,,,vai,,,,,,,,,vA uvu vai vA u,vA uvu vai vA u vetadetaduvai vA uvetat
,,,,,,,,4.6.9.4,,,,,uq ,,,,,,,,,uvetadetaduvuvetat,
,,,,,,,,4.6.9.4,,,,,eqtat,,R,,,,,,
,,,,,,,,5.2.12.1,,,,,kaH,,,,,,,,,,ka uvu kaH ka u,ka uvu kaH ka u te ta u kaH ka u te 
,,,,,,,,5.2.12.1,,,,,uq,,,,,,,,
,,,,,,,,5.2.12.1,,,,,teq ,,,,,,,,
,,,,,,,,4.1.4.2,,,,,UqrddhvaH   ,,,,4G,,,,, Urddhva uvuv  Urddhva  Urddhva u, Urddhva uvuv  Urddhva  Urddhva U Shu No naH SU vUrddhva  Urddhva U Shu NaH
,,,,,,,,4.1.4.2,,,,,uq ,,,3K,,EL%UW,N,,,U Shu No naH SU Shu NaH,U Shu No naH SU Shu Na Utaya Uqtaye naH SU Shu Na utaye 
,,,,,,,,4.1.4.2,,,,,su ,,,,,Sh,P,,
,,,,,,,,4.1.4.2,,,,,naqH,,,,,N,P,,
,,,,,,,,4.1.4.2,,,,,Uqtaye$ ,,R,,,,,,
